mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1183115,AcAlO3,5,Ac1 Al1 O3,3.85863387,3.85863387,3.85863387,90,90,90,cubic,Pm-3m,0,-8.232146192,-3.690019421,0,TRUE,8.728230082,4.1024,TRUE,57.45141324,,
mp-1183052,AcBO3,5,Ac1 B1 O3,3.721668,3.721668,3.721668,90,90,90,cubic,Pm-3m,0.0001327,-7.604279514,-2.475389555,0.792472745,FALSE,9.206878606,0.8071,FALSE,51.54812641,,
mp-866101,AcCrO3,5,Ac1 Cr1 O3,3.9442869,3.94430226,3.9442715,90,90,90,cubic,Pm-3m,2.9999997,-8.862593228,-3.13897213,0,TRUE,8.848788047,2.0031,FALSE,61.36284504,,
mp-864606,AcCuO3,5,Ac1 Cu1 O3,3.91333125,3.91333125,3.91333125,90,90,90,cubic,Pm-3m,1.60E-06,-7.035745362,-2.422892424,0,TRUE,9.380470938,0,FALSE,59.92938666,"{'voigt': 163.571, 'reuss': 163.571, 'vrh': 163.571}","{'voigt': 81.813, 'reuss': 81.632, 'vrh': 81.723}"
mp-861502,AcFeO3,5,Ac1 Fe1 O3,3.95356962,3.9535675,3.95358451,90.00009246,90,90,cubic,Pm-3m,4.2542759,-8.258555312,-2.771539466,0,TRUE,8.889999466,0.9888,FALSE,61.79731063,,
mp-1183053,AcGaO3,5,Ac1 Ga1 O3,3.94626209,3.94626209,3.94626209,90,90,90,cubic,Pm-3m,0,-7.461883426,-3.063252617,0,TRUE,9.314495003,2.8959,FALSE,61.45507829,,
mp-1183142,AcMgO3,5,Ac1 Mg1 O3,4.016262,4.016262,4.016262,90,90,90,cubic,Pm-3m,1.0000029,-7.120950934,-3.001845327,0.082312486,FALSE,7.671748359,0,FALSE,64.78375373,,
mp-864911,AcMnO3,5,Ac1 Mn1 O3,3.96302168,3.96302168,3.96302168,90,90,90,cubic,Pm-3m,3.9999934,-8.599044686,-2.973630023,0,TRUE,8.802373253,0,FALSE,62.24139883,,
mp-1183139,AcNiO3,5,Ac1 Ni1 O3,3.87883955,3.87883649,3.87881202,90,90,90,cubic,Pm-3m,2.60E-06,-7.404515516,-2.455476575,0,TRUE,9.494942767,0,FALSE,58.3582178,,
mp-1183145,AcPdO3,5,Ac1 Pd1 O3,4.05520794,4.05520691,4.05520589,90,90,90,cubic,Pm-3m,1.89E-05,-7.065943372,-2.236955405,0.008102041,FALSE,9.497547055,0,FALSE,66.68667374,,
mp-1183152,AcScO3,5,Ac1 Sc1 O3,4.125046,4.125046,4.125046,90,90,90,cubic,Pm-3m,7.43E-05,-8.888565856,-3.82906043,0.024140035,FALSE,7.569207409,3.3847,TRUE,70.19180131,,
mp-1183150,AcSiO3,5,Ac1 Si1 O3,3.970175,3.970175,3.970175,90,90,90,cubic,Pm-3m,0.000274,-7.746321594,-2.868246384,0.473361866,FALSE,8.042345508,0,FALSE,62.57904784,,
mp-865927,AcTiO3,5,Ac1 Ti1 O3,3.99582001,3.99582001,3.99582001,90,90,90,cubic,Pm-3m,0.1609683,-8.979745746,-3.607635738,0,TRUE,8.403352518,0,FALSE,63.79957007,"{'voigt': 179.412, 'reuss': 179.412, 'vrh': 179.412}","{'voigt': 80.17, 'reuss': 73.87, 'vrh': 77.02}"
mp-1183168,AcVO3,5,Ac1 V1 O3,3.96789433,3.96789746,3.96789433,90,90,90,cubic,Pm-3m,2.0000001,-8.750861914,-3.141069096,0,TRUE,8.66374623,0,FALSE,62.47131331,,
mp-1105645,Ag3SBr,20,Ag3 S1 Br1,6.992429543,6.992429543,9.917093,90,90,91.0507128,ortho,Cmcm,0.0033129,-3.166347569,-0.305523741,0.098312406,FALSE,5.96764643,0.2964,FALSE,484.8055176,,
mp-1229116,Ag3SBr,5,Ag3 S1 Br1,4.921708553,4.980664015,4.825298,90,90,93.27696025,mono,Pm,4.85E-05,-3.200961334,-0.340137506,0.063698641,FALSE,6.124830462,0.3987,FALSE,118.0909388,,
mp-36600,Ag3SBr,10,Ag3 S1 Br1,6.978889373,6.905923242,6.864160667,60.90296584,59.84408842,59.25294575,ortho,Fmm2,0.0005966,-3.196363589,-0.335539761,0.068296386,FALSE,6.18651342,0.3977,FALSE,233.8270137,,
mp-1173025,Ag3SI,10,Ag3 S1 I1,7.115597778,7.032828703,6.990995493,60.97987425,59.80033117,59.21979458,ortho,Fmm2,0.000498,-3.078653433,-0.240416389,0.086675302,FALSE,6.481742236,0.3398,FALSE,247.2585507,,
mp-22995,Ag3SI,5,Ag3 S1 I1,4.95772377,4.95772377,4.957723388,89.9093587,89.9093587,89.9093568,trig,R3,4.14E-05,-3.098510538,-0.260273494,0.066818197,FALSE,6.576090262,0.5478,FALSE,121.85555,,
mp-558189,Ag3SI,5,Ag3 S1 I1,5.009586,5.009586,5.009586,90,90,90,cubic,Pm-3m,3.08E-05,-3.04893323,-0.210696186,0.116395505,FALSE,6.373934117,0.6243,FALSE,125.7203293,"{'voigt': 44.61, 'reuss': 44.61, 'vrh': 44.61}","{'voigt': 8.967, 'reuss': 4.108, 'vrh': 6.537}"
mp-632480,Ag3SI,5,Ag3 S1 I1,4.892054,4.925177547,5.12078399,89.94357745,89.40346588,88.71918978,tri,P1,9.51E-05,-3.091646502,-0.253409458,0.073682233,FALSE,6.496742794,0.1676,FALSE,123.3438234,,
mp-673825,Ag3SI,10,Ag3 S1 I1,10.15182148,7.09353404,7.010985412,58.88260302,43.45932273,44.64430486,tri,P1,0.0009483,-3.080563733,-0.242326689,0.084765002,FALSE,6.567474043,0.257,FALSE,244.0308376,,
mp-674981,Ag3SI,5,Ag3 S1 I1,4.876098,5.020287,5.059902651,87.61947899,90,90,mono,Pm,0.0002521,-3.08810371,-0.249866666,0.077225025,FALSE,6.475076465,0.2624,FALSE,123.7565456,,
mp-675879,Ag3SI,10,Ag3 S1 I1,7.169073,4.912614,7.022944576,89.3374277,90,90,mono,P2_1,0.0007676,-3.089818992,-0.251581948,0.075509743,FALSE,6.480033179,0.3216,TRUE,247.3237632,,
mp-676121,Ag3SI,10,Ag3 S1 I1,4.31969,4.732148164,13.27867368,89.65796526,87.07948282,89.88724023,tri,P1,0.0005631,-3.091394415,-0.253157371,0.07393432,FALSE,5.912215315,0.3739,FALSE,271.0771016,,
mp-676561,Ag3SI,5,Ag3 S1 I1,4.999040194,4.999040194,4.999040596,91.00785625,91.00785625,91.00786029,trig,R32,0.0001742,-3.08771653,-0.249479486,0.077612205,FALSE,6.417371315,0.333,FALSE,124.8693673,,
mp-1178563,AgAsO3,10,Ag1 As1 O3,6.389075483,6.389075483,6.389075851,45.13452662,45.13452672,45.13451435,trig,R-3,0,-5.741099904,-1.269711259,0,TRUE,6.425733028,0.2921,TRUE,119.2805516,,
mp-558950,AgAsO3,120,Ag1 As1 O3,6.755519,12.790828,20.006086,90,90,90,ortho,Pca2_1,7.65E-05,-5.71533459,-1.243945945,0.025765314,FALSE,5.320519664,0.593,TRUE,1728.699515,,
mp-775767,AgAsO3,20,Ag1 As1 O3,7.778960826,7.778960826,5.158002727,81.14945767,81.14945767,88.23298173,mono,C2/c,0.0002303,-5.70383204,-1.232443394,0.037267864,FALSE,5.030528133,0.7378,FALSE,304.7254522,,
mp-752678,AgAuO3,20,Ag1 Au1 O3,6.423519613,6.423519613,7.539733,90,90,108.9190307,ortho,Cmcm,1.10E-06,-4.189676009,0.002464529,0.418732773,FALSE,7.963340123,0,FALSE,294.2950671,,
mp-776165,AgAuO3,20,Ag1 Au1 O3,7.28592645,7.28592645,7.28592645,60,60,60,cubic,Fd-3m,3.77E-05,-4.548984381,-0.356843842,0.059424402,FALSE,8.569172737,0.2423,FALSE,273.4886772,"{'voigt': 123.896, 'reuss': 123.896, 'vrh': 123.896}","{'voigt': 57.25, 'reuss': 56.569, 'vrh': 56.909}"
mp-780275,AgBO3,10,Ag1 B1 O3,6.001194421,6.001194421,6.001195138,48.15921914,48.15921914,48.15922374,trig,R-3c,0.0013824,-6.374372164,-1.501129671,0.08524003,FALSE,5.035218551,0,FALSE,109.9353807,,
mp-985292,AgBO3,5,Ag1 B1 O3,3.483287,3.483287,3.483287,90,90,90,cubic,Pm-3m,1.9870728,-5.419856482,-0.546613989,1.039755712,FALSE,6.548744367,0,FALSE,42.26372549,,
mp-23548,AgBiO3,10,Ag1 Bi1 O3,6.303216286,6.303216286,6.303216494,54.56053531,54.56053531,54.5605319,trig,R-3,0.0003776,-5.318382012,-1.003011011,0.049876171,FALSE,7.836022365,0,FALSE,154.6300754,,
mp-775774,AgBiO3,10,Ag1 Bi1 O3,6.68804174,6.68804174,3.49088122,90,90,107.0726382,ortho,Cmmm,0.7032733,-5.340340333,-1.024969332,0.02791785,FALSE,8.117625484,0,FALSE,149.2659069,,
mp-1178562,AgBrO3,5,Ag1 Br1 O3,4.30379165,4.30379165,4.303792864,81.38578014,81.38578014,81.3857794,trig,R3m,0,-4.149789242,-0.285035796,0.001653319,FALSE,5.067049942,2.383,FALSE,77.26506831,,
mp-753176,AgCO3,10,Ag1 C1 O3,6.031251394,6.031251806,6.031252522,48.62751633,48.62751289,48.62750179,trig,R-3c,4.78E-05,-6.617188799,-1.234091562,0.004634586,FALSE,4.918859547,0,FALSE,113.345982,,
mp-1178561,AgClO3,5,Ag1 Cl1 O3,4.324921442,4.324921442,4.324920985,78.85146232,78.85146232,78.85145527,trig,R3m,0.0010287,-4.259784518,-0.352713047,0.092817574,FALSE,4.134260285,2.7117,FALSE,76.84405819,,
mp-27941,AgClO3,20,Ag1 Cl1 O3,7.367087862,7.367087862,7.367087862,107.8848222,107.8848222,112.6928519,tet,I4/m,6.30E-05,-4.314317366,-0.407245895,0.038284726,FALSE,4.138469149,2.3983,FALSE,307.0636281,,
mp-775761,AgClO3,20,Ag1 Cl1 O3,6.6271587,6.6271587,6.6271587,90,90,90,cubic,P2_13,0,-4.32101794,-0.413946469,0.031584152,FALSE,4.366022674,3.1001,FALSE,291.0597233,"{'voigt': 33.661, 'reuss': 33.661, 'vrh': 33.661}","{'voigt': 7.806, 'reuss': 7.673, 'vrh': 7.739}"
mp-776199,AgClO3,20,Ag1 Cl1 O3,5.41686,6.967275,8.843055669,67.81934874,90,90,mono,P2_1/c,0.0010193,-4.303997147,-0.396925676,0.048604945,FALSE,4.111923887,3.1131,TRUE,309.0459324,,
mp-759939,AgGeO3,10,Ag1 Ge1 O3,2.993014,5.324973,7.139362,90,90,90,ortho,Pmma,0.001751,-5.771882732,-1.309913022,0.161109082,FALSE,6.669478851,0,FALSE,113.7851435,,
mp-779664,AgGeO3,10,Ag1 Ge1 O3,5.158475128,9.308652172,3.170383214,89.95567024,90.3853539,90.40350692,ortho,Pmc2_1,0.0005933,-5.797829883,-1.335860173,0.135161931,FALSE,4.985150398,0,FALSE,152.2296316,,
mp-779706,AgGeO3,20,Ag1 Ge1 O3,10.40786161,8.850075154,3.17289304,89.98576194,89.99137248,90.09551478,ortho,P2_12_12,0.0001014,-5.793425529,-1.331455819,0.139566285,FALSE,5.193309184,0,FALSE,292.2558937,,
mp-891854,AgGeO3,10,Ag1 Ge1 O3,3.170383,5.158475,9.308652,90,90,90,ortho,Pmma,0.000549,-5.797279927,-1.335310217,0.135711887,FALSE,4.984913263,0,FALSE,152.2368732,,
mp-891880,AgGeO3,80,Ag1 Ge1 O3,10.323074,9.273411,12.646994,90,90,90,ortho,Pbam,0.0015504,-5.79961146,-1.337641751,0.133380354,FALSE,5.014545625,0,FALSE,1210.698101,,
mp-1202188,AgIO3,40,Ag1 I1 O3,5.71481035,5.98186524,17.24873905,90,90,90,ortho,Pbca,2.00E-07,-4.544292077,-0.702125415,0.01094325,FALSE,6.370565025,1.8069,FALSE,589.652032,,
mp-27384,AgIO3,40,Ag1 I1 O3,5.66928603,7.23941537,15.25444032,90,90,90,ortho,Pca2_1,0,-4.555235327,-0.713068665,0,TRUE,5.999922076,2.4375,FALSE,626.0775665,,
mp-849271,AgIO3,20,Ag1 I1 O3,5.915064,6.645817,8.445084,90,90,90,ortho,Pnma,0.0024125,-4.527765454,-0.685598792,0.027469874,FALSE,5.657596324,1.9765,FALSE,331.9799078,,
mp-552185,AgNO3,10,Ag1 N1 O3,6.201768483,6.201684965,6.201686928,49.08953044,49.08691654,49.08856255,trig,R3c,0,-5.885683233,-0.680663545,0,TRUE,4.509524595,1.8539,FALSE,125.104504,,
mp-638686,AgNO3,40,Ag1 N1 O3,6.90205076,7.20285772,10.01382351,90,90,90,ortho,Pbca,6.00E-07,-5.883303851,-0.678284163,0.002379383,FALSE,4.532948436,2.0089,TRUE,497.8321247,,
mp-669466,AgNO3,40,Ag1 N1 O3,7.077779,7.419143,10.226522,90,90,90,ortho,P2_12_12_1,0.0004156,-5.880653645,-0.675633957,0.005029588,FALSE,4.202280132,2.0027,TRUE,537.0054543,,
mp-8196,AgNO3,5,Ag1 N1 O3,4.151836391,4.151836044,4.151836391,77.22416012,77.22415774,77.22416012,trig,R3m,0,-5.85451189,-0.649492202,0.031171343,FALSE,4.213744204,1.7204,FALSE,66.94305711,,
mp-18702,AgPO3,40,Ag1 P1 O3,5.97752081,7.317044275,13.59925276,61.66666124,90,90,mono,P2_1/c,0,-6.578507002,-1.958048158,0,TRUE,4.740841827,2.0232,FALSE,523.5448041,,
mp-775762,AgPO3,20,Ag1 P1 O3,4.050258,5.872686,11.96470882,68.46602396,90,90,mono,P2_1/c,0.0010486,-6.533062173,-1.912603329,0.045444829,FALSE,4.687932528,2.287,FALSE,264.7268376,,
mp-5470,AgPS3,10,Ag1 P1 S3,6.780253846,6.780254284,6.619494314,96.22820341,115.8907391,117.8903189,mono,C2/m,0,-11.12451423,-0.231924093,0.004740132,FALSE,3.508777848,1.3228,FALSE,222.4638175,,
mp-1178556,AgPbO3,10,Ag1 Pb1 O3,6.063536039,6.063536039,6.063536146,56.91439183,56.91439183,56.91440088,trig,R-3,2.0014088,-5.125327082,-0.845433529,0.111383396,FALSE,8.235107872,0,FALSE,146.4184684,,
mp-1200271,AgPd3Se,40,Ag1 Pd3 Se1,8.775577,8.775577,8.775577,90,90,90,cubic,Pa-3,0.2051388,-21.10371652,-0.193956884,0.000731597,FALSE,9.948056706,0,FALSE,675.8137812,,
mp-776166,AgPdO3,20,Ag1 Pd1 O3,6.477634781,6.477634781,6.838195,90,90,111.1526736,ortho,Cmcm,0.0002408,-4.747613204,-0.174272703,0.439272044,FALSE,6.510355757,0,FALSE,267.596322,,
mp-776168,AgRuO3,20,Ag1 Ru1 O3,7.214616145,7.214616145,7.214616145,60,60,60,cubic,Fd-3m,0.4287024,-6.386093229,-0.993848582,0.057777263,FALSE,6.427025654,0,FALSE,265.5367835,,
mp-540872,AgSbO3,20,Ag1 Sb1 O3,7.270079791,7.270079791,7.270079791,60,60,60,cubic,Fd-3m,0,-5.807639057,-1.44447467,0,TRUE,6.786835394,0.0946,FALSE,271.7080679,,
mp-545999,AgSbO3,10,Ag1 Sb1 O3,6.365893471,6.365892971,6.365893763,49.61821341,49.61826084,49.61834321,trig,R-3,0,-5.790875897,-1.42771151,0.01676316,FALSE,6.698918635,0.1333,TRUE,137.6369854,"{'voigt': 135.711, 'reuss': -1947748.992, 'vrh': -973806.641}","{'voigt': 484783916890.146, 'reuss': 145219328.746, 'vrh': 242464568109.446}"
mp-677054,AgSbO3,60,Ag1 Sb1 O3,8.102397,8.3480744,13.44267748,90.76401145,90.34159842,109.3223431,tri,P1,0.002211,-5.731120558,-1.367956171,0.076518499,FALSE,6.44836024,0,FALSE,857.910165,,
mp-860791,AgSbO3,30,Ag1 Sb1 O3,8.165706637,8.165706637,9.517102341,55.48285219,55.48285219,71.23888223,mono,C2,4.99E-05,-5.747215705,-1.384051318,0.060423352,FALSE,6.420372778,0.2875,FALSE,430.8249683,,
mp-569052,AgSe3I,20,Ag1 Se3 I1,5.101597,8.251258,15.05009,90,90,90,ortho,Pmna,1.20E-06,-3.141949277,-0.171012332,0.016091628,FALSE,4.94499633,1.3964,FALSE,633.5274141,,
mp-755834,AgSnO3,10,Ag1 Sn1 O3,6.605299848,6.605299848,3.286703,90,90,110.1813222,ortho,Cmmm,0.0169321,-5.689126443,-1.349847933,0.091669976,FALSE,6.775067907,0,FALSE,134.5949134,,
mp-570431,AgTe3I,20,Ag1 Te3 I1,5.147745,8.806155,16.469045,90,90,90,ortho,Pmna,0.0001905,-2.927542263,-0.168168668,0.175717689,FALSE,5.494464735,1.0025,FALSE,746.572119,,
mp-558637,AgTeO3,40,Ag1 Te1 O3,11.826693,6.024564,9.221228838,61.03323127,90,90,mono,P2_1/c,0.0030223,-5.291976235,-1.125950917,0.02047435,FALSE,6.550947813,1.6662,FALSE,574.8261714,,
mp-559257,AgTeO3,40,Ag1 Te1 O3,6.92440761,6.518629494,13.29551785,88.99666929,90,90,mono,P2_1/c,0,-5.312450585,-1.146425267,0,TRUE,6.275713149,1.5732,FALSE,600.036388,,
mp-561489,AgTeO3,20,Ag1 Te1 O3,5.461745684,6.91813729,7.39980156,90.00000081,89.99999287,101.3021652,mono,P2_1/m,7.00E-07,-5.292326426,-1.126301109,0.020124158,FALSE,6.867123404,1.1676,FALSE,274.1800335,,
mp-1228446,Al3BC,10,Al3 B1 C1,3.481176444,3.481176444,11.46837206,90,90,119.9999917,hex_,P6_3/mmc,0,-5.52696833,-0.098011379,0,TRUE,2.863195326,0.453,FALSE,120.3606472,,
mp-1183169,AlAgO3,5,Al1 Ag1 O3,3.751028,3.751028,3.751028,90,90,90,cubic,Pm-3m,1.9999092,-5.90149902,-1.615019715,0.285597335,FALSE,5.75291885,0,FALSE,52.77775564,,
mp-1253488,AlAgO3,20,Al1 Ag1 O3,4.313100198,5.740123171,10.01382801,90.00515801,89.999115,89.96925874,ortho,Pnma,0.0004288,-6.047576314,-1.761097009,0.139520042,FALSE,4.898784497,0.0622,FALSE,247.9195772,,
mp-1343327,AlAgO3,30,Al1 Ag1 O3,6.049468028,6.049468028,10.846984,90,90,120.0000003,hex_,P6_3cm,4.81E-05,-5.907362491,-1.620883186,0.279733865,FALSE,5.299274482,0.0481,FALSE,343.774771,,
mp-1343733,AlAgO3,20,Al1 Ag1 O3,4.727991,5.293314,9.496944,90,90,90,ortho,Pnma,4.81E-05,-6.0240798,-1.737600495,0.163016555,FALSE,5.109883301,0.032,FALSE,237.6775573,,
mp-1404877,AlAgO3,10,Al1 Ag1 O3,3.408284409,3.408284409,11.579135,90,90,120.0000079,hex_,P6_3/mmc,0.0614073,-5.667360678,-1.380881373,0.519735677,FALSE,5.213036809,0,FALSE,116.487244,,
mp-1418444,AlAgO3,5,Al1 Ag1 O3,4.003727,4.003727,4.003727,90,90,90,cubic,Pm-3m,0.0002758,-4.537316028,-0.250836723,1.649780327,FALSE,4.730922085,0,FALSE,64.17906274,,
mp-1183159,AlAuO3,5,Al1 Au1 O3,3.76133,3.76133,3.76133,90,90,90,cubic,Pm-3m,2.0114009,-5.773129062,-1.400460893,0.541741308,FALSE,8.486096192,0,FALSE,53.21380498,,
mp-8110,AlBO3,10,Al1 B1 O3,5.314435905,5.314435905,5.314435922,50.16091164,50.16091164,50.16091429,trig,R-3c,0.0002177,-8.17212798,-3.118357857,0.030454673,FALSE,3.497216426,5.8392,FALSE,81.46986382,,
mp-1344602,AlBiO3,20,Al1 Bi1 O3,5.384863,5.395965,9.424568,90,90,90,ortho,Pnma,7.92E-05,-6.814954908,-2.319056277,0.234789573,FALSE,6.887493997,0.948,TRUE,273.8452643,,
mp-1376082,AlBiO3,30,Al1 Bi1 O3,6.323772693,6.323772693,11.833578,90,90,120.0000073,hex_,P6_3cm,8.08E-05,-6.53207221,-2.036173579,0.51767227,FALSE,6.903328623,0.7618,FALSE,409.8256907,,
mp-1392353,AlBiO3,10,Al1 Bi1 O3,3.642762492,3.642762492,12.876102,90,90,120.0000089,hex_,P6_3/mmc,4.06E-05,-6.184146843,-1.688248212,0.865597637,FALSE,6.373232459,0.6411,FALSE,147.9710356,,
mp-1413511,AlBiO3,5,Al1 Bi1 O3,4.274584,4.274584,4.274584,90,90,90,cubic,Pm-3m,0.384138,-5.384721586,-0.888822955,1.665022894,FALSE,6.0370519,0,FALSE,78.10549111,,
mp-23080,AlBiO3,5,Al1 Bi1 O3,3.787194,3.787194,3.787194,90,90,90,cubic,Pm-3m,3.66E-05,-6.928135246,-2.432236615,0.121609234,FALSE,8.680681447,1.586,FALSE,54.31911151,,
mp-551918,AlBiO3,10,Al1 Bi1 O3,5.45999944,5.45999944,5.459999208,59.45710362,59.45710362,59.45710056,trig,R3c,0.0010866,-6.996409416,-2.500510785,0.053335064,FALSE,8.296037246,2.9779,FALSE,113.6752137,,
mp-775763,AlBiO3,20,Al1 Bi1 O3,5.094505,7.207137,8.683036793,63.00781439,90,90,mono,P2_1/c,0.0001435,-6.971450302,-2.475551671,0.078294179,FALSE,6.639249619,3.0001,FALSE,284.0844557,,
mp-1202918,AlBr3N,80,Al1 Br3 N1,12.08136,12.809219,19.269713,90,90,90,ortho,Pbca,0,-3.314313995,0.084624641,1.299064871,FALSE,2.500910437,0.3442,TRUE,2982.041773,,
mp-10037,AlCo3C,5,Al1 Co3 C1,3.722911,3.722911,3.722911,90,90,90,cubic,Pm-3m,0.0001511,-7.083075222,-0.208176925,0.0313939,FALSE,6.944422257,0,FALSE,51.59979334,"{'voigt': 232.832, 'reuss': 232.832, 'vrh': 232.832}","{'voigt': 119.734, 'reuss': 109.74, 'vrh': 114.737}"
mp-1178576,AlCoO3,10,Al1 Co1 O3,5.175649032,5.175649032,5.175648975,55.59903088,55.59903088,55.59903478,trig,R-3,1.54E-05,-7.454490492,-2.309915379,0.031363284,FALSE,5.052577293,2.5603,FALSE,88.0214769,,
mp-1248478,AlCoO3,30,Al1 Co1 O3,5.290845537,5.545188294,11.85510791,89.6862186,90.13927045,120.1235471,tri,P1,15.3954286,-7.235144542,-2.090569429,0.250709234,FALSE,4.435002914,0,FALSE,300.835416,,
mp-1348445,AlCoO3,30,Al1 Co1 O3,5.414479802,5.414479802,11.557588,90,90,119.9999976,hex_,P6_3cm,12.0000916,-7.247019017,-2.102443904,0.23883476,FALSE,4.546859608,0,FALSE,293.4346036,,
mp-1378752,AlCoO3,20,Al1 Co1 O3,4.769809,4.920832,7.300502,90,90,90,ortho,Pnma,0.0001751,-7.303829901,-2.159254788,0.182023875,FALSE,5.190860548,0,FALSE,171.3532126,,
mp-1386773,AlCoO3,10,Al1 Co1 O3,3.151764268,3.151764268,11.266135,90,90,120.0000056,hex_,P6_3/mmc,3.6299455,-7.229388904,-2.084813791,0.256464872,FALSE,4.588688787,0,FALSE,96.91991245,,
mp-1404938,AlCoO3,10,Al1 Co1 O3,4.859754,4.877269817,5.186674642,116.1873906,89.94434658,118.6877788,tri,P-1,0.0001788,-2.411246398,2.733328715,5.074607378,FALSE,4.769837474,0.0255,FALSE,93.23909211,,
mp-1435808,AlCoO3,5,Al1 Co1 O3,3.694482,3.694482,3.694482,90,90,90,cubic,Pm-3m,0.0315227,-6.187918972,-1.043343859,1.297934804,FALSE,4.409719415,0,FALSE,50.42671355,,
mp-754022,AlCoO3,10,Al1 Co1 O3,4.846808021,5.366148668,4.936906816,87.08454333,59.72039375,115.9564544,tri,P1,3.9998018,-7.369777195,-2.225202082,0.116076581,FALSE,4.761424852,0.8939,FALSE,93.40382959,,
mp-756947,AlCoO3,20,Al1 Co1 O3,6.367889677,6.367889677,5.030233599,82.35712921,82.35712921,84.50423859,mono,C2/c,1.29E-05,-7.384206743,-2.23963163,0.101647033,FALSE,4.453275665,0.8272,FALSE,199.7340156,,
mp-776216,AlCoO3,10,Al1 Co1 O3,4.859753715,5.325595422,4.964776402,87.24563963,59.51777561,116.0196539,tri,P-1,4.0000588,-7.381012709,-2.236437596,0.104841067,FALSE,4.769838379,0.3481,FALSE,93.2390744,,
mp-1251690,AlCrO3,30,Al1 Cr1 O3,5.515928196,5.515928196,11.631256,90,90,120.0000024,hex_,P6_3cm,17.9977877,-8.192928276,-2.544427013,0.352142375,FALSE,4.127879334,1.1578,FALSE,306.4745698,,
mp-1345463,AlCrO3,20,Al1 Cr1 O3,5.019513,5.052393,7.532182,90,90,90,ortho,Pnma,12.0001663,-8.368785191,-2.720283928,0.176285461,FALSE,4.415202888,1.8029,FALSE,191.0202959,,
mp-1383064,AlCrO3,5,Al1 Cr1 O3,3.826701,3.826701,3.726416,90,90,90,tet,P4/mmm,2.7888378,-7.202312774,-1.553811511,1.342757877,FALSE,3.863934818,0,FALSE,54.56829642,,
mp-1385937,AlCrO3,10,Al1 Cr1 O3,3.18012745,3.18012745,11.738046,90,90,119.9999886,hex_,P6_3/mmc,5.9992474,-8.170159632,-2.521658369,0.374911019,FALSE,4.10189598,0,FALSE,102.8053083,,
mp-1178579,AlCuO3,10,Al1 Cu1 O3,5.287445213,5.287445213,5.287445411,55.62803881,55.62803881,55.62803469,trig,R-3,4.0100089,-6.567560945,-2.029827842,0.109386411,FALSE,4.898307377,0.1349,FALSE,93.92117846,,
mp-1253258,AlCuO3,30,Al1 Cu1 O3,5.648616041,5.648616041,10.488773,90,90,120.0000005,hex_,P6_3cm,0.009505,-6.510882523,-1.97314942,0.166064833,FALSE,4.762021986,0,FALSE,289.8273901,,
mp-1347317,AlCuO3,20,Al1 Cu1 O3,4.563595,4.870815,8.702906,90,90,90,ortho,Pnma,0.0016568,-6.495386937,-1.957653834,0.181560419,FALSE,4.756270435,0,FALSE,193.4519105,,
mp-1412082,AlCuO3,10,Al1 Cu1 O3,3.15823634,3.15823634,11.229472,90,90,120.0000071,hex_,P6_3/mmc,0.6151517,-6.475611387,-1.937878284,0.201335969,FALSE,4.742751582,0,FALSE,97.00166525,,
mp-1504314,AlCuO3,5,Al1 Cu1 O3,3.699148,3.699148,3.699148,90,90,90,cubic,Pm-3m,0.0006187,-5.386731856,-0.848998753,1.2902155,FALSE,4.544378009,0,FALSE,50.61801642,,
mp-776172,AlCuO3,20,Al1 Cu1 O3,6.781667,4.709123,6.232749403,85.48211893,90,90,mono,P2_1/c,0.0007792,-6.593635974,-2.055902871,0.083311382,FALSE,4.636977018,0.35,FALSE,198.4287606,,
mp-1206715,AlFe3B,5,Al1 Fe3 B1,3.822322,3.822322,3.822322,90,90,90,cubic,Pm-3m,4.050403,-7.313583432,-0.146577186,0.168673687,FALSE,6.105405143,0,FALSE,55.84468046,,
mp-22793,AlFe3C,5,Al1 Fe3 C1,3.78948866,3.78990736,3.78993006,90,90,90,cubic,Pm-3m,5.8869668,-7.837073892,-0.160212901,0,TRUE,6.300659849,0,FALSE,54.43025909,,
mp-1206123,AlFe3H,5,Al1 Fe3 H1,3.69954721,3.69954826,3.69956512,90,90,90,cubic,Pm-3m,7.321186,-6.715165902,-0.205004722,0,TRUE,6.412129532,0,FALSE,50.63466569,,
mp-1206767,AlFe3N,5,Al1 Fe3 N1,3.717861,3.717861,3.717861,90,90,90,cubic,Pm-3m,2.0489745,-7.808947494,-0.310164053,0.323238185,FALSE,6.737893042,0,FALSE,51.39009804,,
mp-1206753,AlFe3O,5,Al1 Fe3 O1,4.113634,4.113634,4.113634,90,90,90,cubic,Pm-3m,10.3525381,-6.27797304,0.542747053,1.737968902,FALSE,5.021773652,0,FALSE,69.61085155,,
mp-1178577,AlFeO3,20,Al1 Fe1 O3,4.963586851,4.963348703,9.494494209,105.1516003,90.00137238,119.9984908,trig,R-3,0,-7.946164339,-2.534268328,0.032552852,FALSE,4.499455863,2.1792,FALSE,193.1252097,,
